[2017-11-30 11:07:25]: Peer 1001 is connected from Peer 1002
[2017-11-30 11:07:25]: Peer 1001 received the 'interested' message from 1002
[2017-11-30 11:07:26]: Peer 1001 is connected from Peer 1003
[2017-11-30 11:07:26]: Peer 1001 received the 'interested' message from 1003
[2017-11-30 11:07:27]: Peer 1001 has preferred neighbors [1003, 1002]
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1003
[2017-11-30 11:07:27]: Peer 1001 received the 'have' message from 1002
